timestamp bid bidsize ask asksize
1516576004123465.0 1225700 1000000 1225730 1000000
1516576004129770.0 1225680 500000 1225730 1000000
1516576004149170.0 1225670 1000000 1225730 1000000
1516576004149191.0 1225630 1000000 1225760 1000000
1516576004153875.0 1225640 1000000 1225760 1000000
1516576004169587.0 1225660 1000000 1225760 1000000
1516576004169625.0 1225670 500000 1225730 1000000
1516576004169626.0 1225670 500000 1225760 1000000
1516576004169811.0 1225690 500000 1225730 1000000
1516576004169812.0 1225690 500000 1225760 1000000
1516576004169812.0 1225710 1000000 1225730 1000000
1516576004187241.0 1225700 1000000 1225730 1000000
1516576004188063.0 1225690 500000 1225730 1000000
1516576004201325.0 1225710 1000000 1225730 1000000
1516576004237476.0 1225660 1000000 1225760 1000000
1516576004237476.0 1225730 1000000 1225730 1000000
1516576004237610.0 1225710 500000 1225760 1000000
1516576004237984.0 1225660 1000000 1225760 1000000
1516576004238208.0 1225730 1000000 1225750 1000000
1516576004238213.0 1225730 1000000 1225740 1000000
1516576004238642.0 1225660 1000000 1225770 1000000
1516576004239350.0 1225660 1000000 1225780 1000000
1516576004243270.0 1225730 1000000 1225770 1000000
1516576004251478.0 1225670 1000000 1225780 1000000
1516576004251489.0 1225670 1000000 1225790 1000000
1516576004251504.0 1225730 1000000 1225780 1000000
1516576004255354.0 1225710 1000000 1225780 1000000
1516576004262381.0 1225720 500000 1225780 1000000
1516576004262382.0 1225720 500000 1225790 1000000
1516576004262509.0 1225740 1000000 1225780 1000000
1516576004262693.0 1225740 1000000 1225790 1000000
1516576004268827.0 1225740 1000000 1225810 1000000
1516576004268846.0 1225720 500000 1225810 1000000
1516576004312586.0 1225740 1000000 1225800 1000000
1516576004312599.0 1225740 1000000 1225810 1000000
1516576004326481.0 1225720 500000 1225820 80000
1516576004328786.0 1225740 1000000 1225820 1000000
1516576004333178.0 1225740 1000000 1225800 1000000
1516576004333189.0 1225740 1000000 1225820 1000000
1516576004367692.0 1225720 500000 1225820 1000000
1516576004367723.0 1225700 1000000 1225820 80000
1516576004367723.0 1225720 1000000 1225820 1000000
1516576004367783.0 1225720 1000000 1225820 80000
1516576004377991.0 1225720 1000000 1225820 1000000
1516576004407083.0 1225720 1000000 1225820 80000
1516576004407105.0 1225720 1000000 1225810 1000000
1516576004584217.0 1225710 1000000 1225810 1000000
1516576004584518.0 1225710 1000000 1225800 1000000
1516576004587710.0 1225680 1000000 1225820 80000
1516576004698312.0 1225680 1000000 1225820 1000000
1516576007151702.0 1225710 1000000 1225820 1000000
1516576007163225.0 1225710 500000 1225820 1000000
1516576007163292.0 1225720 1000000 1225820 1000000
1516576007163686.0 1225710 500000 1225820 80000
1516576007169853.0 1225710 500000 1225820 1000000
1516576007169958.0 1225720 1000000 1225750 1000000
1516576007170038.0 1225710 500000 1225770 500000
1516576007192166.0 1225720 1000000 1225760 1000000
1516576007192754.0 1225720 1000000 1225770 1000000
1516576007198760.0 1225690 1000000 1225770 500000
1516576007205600.0 1225670 500000 1225770 500000
1516576007296199.0 1225720 1000000 1225770 500000
1516576007928386.0 1225710 1000000 1225770 500000
1516576007928476.0 1225710 1000000 1225780 1000000
1516576007928513.0 1225670 500000 1225810 1000000
1516576007929251.0 1225710 1000000 1225790 1000000
1516576007929258.0 1225710 1000000 1225780 1000000
1516576007930220.0 1225710 1000000 1225790 1000000
1516576007931050.0 1225710 1000000 1225800 1000000
1516576007944157.0 1225670 500000 1225820 1000000
1516576007973239.0 1225720 1000000 1225800 1000000
1516576009592682.0 1225670 500000 1225810 1000000
1516576012008468.0 1225670 1000000 1225810 1000000
1516576012008481.0 1225720 1000000 1225790 1000000
1516576012008525.0 1225670 1000000 1225810 500000
1516576012009867.0 1225700 1000000 1225790 1000000
1516576012014330.0 1225700 1000000 1225770 1000000
1516576012016541.0 1225660 1000000 1225810 500000
1516576012016542.0 1225660 1000000 1225810 1000000
1516576012049727.0 1225690 1000000 1225770 1000000
1516576012057031.0 1225660 1000000 1225800 1000000
1516576012234652.0 1225660 1000000 1225790 1000000
1516576012523385.0 1225660 1000000 1225800 1000000
1516576012533131.0 1225670 500000 1225800 1000000
1516576012534152.0 1225710 1000000 1225770 1000000
1516576012534156.0 1225710 1000000 1225780 1000000
1516576012536259.0 1225670 500000 1225810 1000000
1516576012539305.0 1225710 1000000 1225790 1000000
1516576012552588.0 1225720 1000000 1225790 1000000
1516576012558652.0 1225720 1000000 1225800 1000000
1516576012563043.0 1225680 500000 1225810 1000000
1516576012567022.0 1225720 1000000 1225810 1000000
1516576012575477.0 1225690 1000000 1225810 1000000
1516576012575484.0 1225690 1000000 1225820 1000000
1516576012634342.0 1225690 1000000 1225810 1000000
1516576012666756.0 1225690 1000000 1225820 80000
1516576012760596.0 1225690 1000000 1225820 1000000
1516576012995716.0 1225720 1000000 1225800 1000000
1516576012999490.0 1225680 500000 1225820 1000000
1516576013416399.0 1225680 500000 1225810 1000000
1516576014530799.0 1225680 500000 1225820 1000000
1516576015480538.0 1225760 1000000 1225800 1000000
1516576015484412.0 1225690 1000000 1225820 1000000
1516576015586613.0 1225760 1000000 1225820 1000000
1516576015586747.0 1225760 1000000 1225810 1000000
1516576015586969.0 1225690 1000000 1225820 80000
1516576015589411.0 1225700 1000000 1225820 80000
1516576015730352.0 1225720 1000000 1225810 1000000
1516576015733732.0 1225680 500000 1225820 80000
1516576016672971.0 1225680 1000000 1225820 80000
1516576016673234.0 1225720 1000000 1225800 1000000
1516576016673414.0 1225680 1000000 1225820 1000000
1516576016676539.0 1225760 1000000 1225800 1000000
1516576016806825.0 1225680 1000000 1225810 1000000
1516576017350748.0 1225760 1000000 1225790 1000000
1516576017777883.0 1225720 1000000 1225790 1000000
1516576017779677.0 1225680 1000000 1225800 1000000
1516576020293621.0 1225680 1000000 1225810 1000000
1516576020293957.0 1225710 1000000 1225790 1000000
1516576020297137.0 1225670 1000000 1225810 1000000
1516576020608130.0 1225710 1000000 1225800 1000000
1516576020608511.0 1225710 1000000 1225810 1000000
1516576020612409.0 1225680 1000000 1225810 1000000
1516576020620138.0 1225700 500000 1225810 1000000
1516576020620655.0 1225700 500000 1225820 1000000
1516576020620655.0 1225720 1000000 1225820 1000000
1516576020636118.0 1225720 1000000 1225810 1000000
1516576020655229.0 1225690 1000000 1225820 1000000
1516576020691903.0 1225680 1000000 1225820 1000000
1516576020801479.0 1225680 1000000 1225810 1000000
1516576021470942.0 1225710 1000000 1225810 1000000
1516576022217950.0 1225680 1000000 1225820 1000000
1516576022438514.0 1225720 1000000 1225810 1000000
1516576023300147.0 1225720 1000000 1225800 1000000
1516576023479864.0 1225720 1000000 1225810 1000000
1516576023479923.0 1225720 1000000 1225790 1000000
1516576027962747.0 1225720 1000000 1225810 1000000
1516576027962791.0 1225720 1000000 1225780 1500000
1516576027963196.0 1225680 1000000 1225810 1000000
1516576028404974.0 1225720 1000000 1225770 1000000
1516576028405042.0 1225710 1000000 1225770 1000000
1516576028405067.0 1225710 1000000 1225760 1000000
1516576028405150.0 1225680 1000000 1225760 1000000
1516576028407992.0 1225660 1000000 1225760 1000000
1516576028413319.0 1225690 1000000 1225760 1000000
1516576028440601.0 1225680 1000000 1225760 1000000
1516576030491019.0 1225660 1000000 1225800 1000000
1516576030491369.0 1225660 1000000 1225780 500000
1516576030496835.0 1225680 1000000 1225750 1000000
1516576030521832.0 1225660 1000000 1225800 1000000
1516576030521877.0 1225660 1000000 1225800 500000
1516576030632746.0 1225660 1000000 1225770 1000000
1516576030709592.0 1225670 1000000 1225750 1000000
1516576031151065.0 1225670 1000000 1225760 1000000
1516576031152605.0 1225680 1000000 1225760 1000000
1516576033993640.0 1225680 1000000 1225770 1000000
1516576033993664.0 1225680 1000000 1225750 1000000
1516576034475232.0 1225660 1000000 1225760 1000000
1516576034495891.0 1225660 1000000 1225780 1000000
1516576034610840.0 1225660 1000000 1225770 1000000
1516576034614631.0 1225670 1000000 1225750 1000000
1516576039921248.0 1225670 1000000 1225740 1000000
1516576039921580.0 1225660 1000000 1225760 1000000
1516576041527286.0 1225680 1000000 1225740 1000000
1516576041822322.0 1225710 1000000 1225740 1000000
1516576041826723.0 1225650 1000000 1225760 1000000
1516576041829018.0 1225690 1000000 1225740 1000000
1516576041829356.0 1225690 1000000 1225730 1000000
1516576041829357.0 1225650 1000000 1225730 1000000
1516576041837487.0 1225630 500000 1225730 1000000
1516576042106580.0 1225620 1000000 1225730 1000000
1516576055055471.0 1225670 1000000 1225730 1000000
1516576055383147.0 1225660 500000 1225730 1000000
1516576056347135.0 1225620 1000000 1225730 1000000
1516576056347209.0 1225660 1000000 1225730 1000000
1516576056350656.0 1225700 1000000 1225730 1000000
1516576057853654.0 1225690 1000000 1225730 1000000
1516576057854256.0 1225690 1000000 1225720 1000000
1516576057854335.0 1225620 1000000 1225720 1000000
1516576060000618.0 1225660 1000000 1225720 1000000
1516576060001302.0 1225660 1000000 1225730 1000000
1516576060001483.0 1225620 1000000 1225730 1000000
1516576066131915.0 1225660 1000000 1225720 1000000
1516576066131962.0 1225620 1000000 1225720 1000000
1516576066134216.0 1225620 500000 1225720 1000000
1516576066302844.0 1225660 1000000 1225730 1000000
1516576066302872.0 1225620 500000 1225730 1000000
1516576067503090.0 1225660 1000000 1225740 1000000
1516576067503139.0 1225620 500000 1225750 1000000
1516576068889314.0 1225660 1000000 1225750 1000000
